Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
27,1.1,127.0,4.04,5.050000000000001,5.050000000000001,8.08,1,1,1,1
28,1.1,125.0,2.02,2.02,3.03,3.03,1,1,1,1
29,1.1,117.0,5.050000000000001,6.06,14.14,100,1,1,1,0
30,1.1,125.0,13.13,15.149999999999999,22.22,23.23,1,1,1,1
31,1.1,106.0,100,100,100,100,0,0,0,0
32,1.1,119.0,3.03,3.03,3.03,100,1,1,1,0
33,1.1,127.0,3.03,4.04,6.06,9.09,1,1,1,1
34,1.1,127.0,3.03,3.03,3.03,4.04,1,1,1,1
35,1.1,125.0,2.02,2.02,3.03,3.03,1,1,1,1
36,1.1,125.0,3.03,4.04,4.04,6.06,1,1,1,1
37,1.1,113.0,3.03,100,100,100,1,0,0,0
38,1.1,126.0,2.02,2.02,3.03,4.04,1,1,1,1
39,1.1,120.0,3.03,4.04,4.04,100,1,1,1,0
40,1.1,121.0,3.03,5.050000000000001,5.050000000000001,100,1,1,1,0
41,1.1,123.0,2.02,3.03,3.03,4.04,1,1,1,1
42,1.1,125.0,3.03,4.04,4.04,5.050000000000001,1,1,1,1
43,1.1,124.0,2.02,2.02,2.02,3.03,1,1,1,1
44,1.1,127.0,2.02,2.02,2.02,3.03,1,1,1,1
45,1.1,127.0,2.02,2.02,3.03,3.03,1,1,1,1
46,1.1,126.0,3.03,6.06,7.07,8.08,1,1,1,1
47,1.1,127.0,3.03,3.03,3.03,4.04,1,1,1,1
48,1.1,120.0,3.03,3.03,3.03,100,1,1,1,0
49,1.1,127.0,2.02,2.02,2.02,3.03,1,1,1,1
50,1.1,126.0,3.03,4.04,5.050000000000001,9.09,1,1,1,1
51,1.1,121.0,3.03,4.04,5.050000000000001,100,1,1,1,0
52,1.1,126.0,2.02,2.02,3.03,4.04,1,1,1,1
53,1.1,126.0,2.02,3.03,3.03,3.03,1,1,1,1
54,1.1,125.0,2.02,2.02,2.02,2.02,1,1,1,1
55,1.1,117.0,2.02,5.050000000000001,13.13,100,1,1,1,0
56,1.1,117.0,4.04,5.050000000000001,12.12,100,1,1,1,0
57,1.1,119.0,3.03,3.03,3.03,100,1,1,1,0
58,1.1,120.0,2.02,2.02,3.03,100,1,1,1,0
59,1.1,118.0,3.03,5.050000000000001,8.08,100,1,1,1,0
60,1.1,126.0,4.04,4.04,5.050000000000001,13.13,1,1,1,1
61,1.1,125.0,3.03,3.03,3.03,3.03,1,1,1,1
62,1.1,127.0,1.01,1.01,2.02,2.02,1,1,1,1
63,1.1,118.0,3.03,14.14,29.29,100,1,1,1,0
64,1.1,125.0,3.03,3.03,3.03,4.04,1,1,1,1
65,1.1,117.0,4.04,5.050000000000001,23.23,100,1,1,1,0
66,1.1,125.0,3.03,3.03,4.04,11.11,1,1,1,1
67,1.1,108.0,100,100,100,100,0,0,0,0
68,1.1,113.0,3.03,100,100,100,1,0,0,0
69,1.1,127.0,3.03,5.050000000000001,12.12,13.13,1,1,1,1
70,1.1,126.0,2.02,2.02,2.02,3.03,1,1,1,1
71,1.1,107.0,100,100,100,100,0,0,0,0
72,1.1,115.0,6.06,11.11,100,100,1,1,0,0
73,1.1,114.0,10.100000000000001,100,100,100,1,0,0,0
74,1.1,119.0,3.03,4.04,10.100000000000001,100,1,1,1,0
75,1.1,109.0,100,100,100,100,0,0,0,0
76,1.1,125.0,2.02,2.02,2.02,3.03,1,1,1,1
77,1.1,120.0,6.06,6.06,7.07,100,1,1,1,0
78,1.1,118.0,3.03,5.050000000000001,6.06,100,1,1,1,0
79,1.1,127.0,2.02,4.04,4.04,8.08,1,1,1,1
80,1.1,111.0,25.25,100,100,100,1,0,0,0
81,1.1,125.0,2.02,3.03,3.03,9.09,1,1,1,1
82,1.1,125.0,2.02,2.02,2.02,3.03,1,1,1,1
83,1.1,124.0,2.02,2.02,2.02,3.03,1,1,1,1
84,1.1,121.0,1.01,3.03,4.04,100,1,1,1,0
85,1.1,120.0,2.02,2.02,2.02,100,1,1,1,0
86,1.1,127.0,1.01,2.02,2.02,2.02,1,1,1,1
87,1.1,126.0,3.03,3.03,3.03,4.04,1,1,1,1
88,1.1,127.0,2.02,2.02,2.02,3.03,1,1,1,1
89,1.1,118.0,5.050000000000001,6.06,10.100000000000001,100,1,1,1,0
90,1.1,125.0,3.03,3.03,4.04,5.050000000000001,1,1,1,1
91,1.1,127.0,3.03,4.04,5.050000000000001,6.06,1,1,1,1
92,1.1,124.0,2.02,2.02,2.02,3.03,1,1,1,1
93,1.1,127.0,2.02,3.03,4.04,8.08,1,1,1,1
94,1.1,111.0,7.07,100,100,100,1,0,0,0
95,1.1,126.0,2.02,4.04,6.06,7.07,1,1,1,1
96,1.1,122.0,3.03,4.04,4.04,12.12,1,1,1,1
97,1.1,125.0,2.02,2.02,3.03,3.03,1,1,1,1
98,1.1,125.0,1.01,2.02,2.02,3.03,1,1,1,1
99,1.1,127.0,2.02,3.03,3.03,3.03,1,1,1,1
100,1.1,124.0,5.050000000000001,7.07,8.08,13.13,1,1,1,1
